ID,Disponible,Jugador_ID,Confirmacion
1,Si,Nada,pendiente
2,Si,Nada,pendiente
3,No,5ggiuJ4eDacmLeWzAAAj,Confirmado
4,Si,Nada,pendiente
5,No,pkbRDpYItWeEHAXcAAAf,Confirmado
6,Si,Nada,pendiente
7,Si,Nada,pendiente
8,Si,Nada,pendiente
9,No,mqPur-lcVKQtR3Z8AAAh,Confirmado
10,Si,Nada,pendiente
